Date : 2024-05-11 17:11:41
Directory : e:\Flutter_apps\neural_network
Total : 63 files,  2028 codes, 306 comments, 365 blanks, all 2699 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| android\app\src\main\res\drawable                                                                               |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                          |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                             |         12 |        320 |          4 |         17 |        341 |
| ios\Flutter                                                                                                     |          1 |         26 |          0 |          1 |         27 |
| ios\Runner                                                                                                      |          8 |        271 |          2 |         10 |        283 |
| ios\Runner (Files)                                                                                              |          3 |         62 |          0 |          4 |         66 |
| ios\Runner.xcodeproj                                                                                            |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace                                                                        |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                           |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace                                                                                          |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace\xcshareddata                                                                             |          1 |          8 |          0 |          1 |          9 |
| ios\RunnerTests                                                                                                 |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                      |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                   |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                 |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                             |          6 |        355 |         17 |         59 |        431 |
| linux                                                                                                           |          6 |        112 |         27 |         44 |        183 |
| linux (Files)                                                                                                   |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                   |          3 |         26 |          9 |         17 |         52 |
| macos                                                                                                           |          9 |        492 |          5 |         19 |        516 |
| macos\Flutter                                                                                                   |          1 |          6 |          3 |          4 |         13 |
| macos\Runner                                                                                                    |          5 |        463 |          0 |          9 |        472 |
| macos\Runner (Files)                                                                                            |          3 |         52 |          0 |          7 |         59 |
| macos\Runner.xcodeproj                                                                                          |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcodeproj\project.xcworkspace                                                                      |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                         |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcworkspace                                                                                        |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcworkspace\xcshareddata                                                                           |          1 |          8 |          0 |          1 |          9 |
| macos\RunnerTests                                                                                               |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                         |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                            |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                             |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                         |         11 |        458 |         94 |        149 |        701 |
| windows\flutter                                                                                                 |          3 |         30 |          9 |         17 |         56 |
| windows\runner                                                                                                  |          8 |        428 |         85 |        132 |        645 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                        | language        | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| e:\Flutter_apps\neural_network\README.md                                                                        | Markdown        |         10 |          0 |          7 |         17 |
| e:\Flutter_apps\neural_network\analysis_options.yaml                                                            | YAML            |          3 |         22 |          4 |         29 |
| e:\Flutter_apps\neural_network\android\app\build.gradle                                                         | Gradle          |         51 |          5 |         12 |         68 |
| e:\Flutter_apps\neural_network\android\app\src\debug\AndroidManifest.xml                                        | XML             |          3 |          4 |          1 |          8 |
| e:\Flutter_apps\neural_network\android\app\src\main\AndroidManifest.xml                                         | XML             |         27 |          6 |          1 |         34 |
| e:\Flutter_apps\neural_network\android\app\src\main\kotlin\com\example\neural_network\MainActivity.kt           | Kotlin          |          4 |          0 |          3 |          7 |
| e:\Flutter_apps\neural_network\android\app\src\main\res\drawable-v21\launch_background.xml                      | XML             |          4 |          7 |          2 |         13 |
| e:\Flutter_apps\neural_network\android\app\src\main\res\drawable\launch_background.xml                          | XML             |          4 |          7 |          2 |         13 |
| e:\Flutter_apps\neural_network\android\app\src\main\res\values-night\styles.xml                                 | XML             |          9 |          9 |          1 |         19 |
| e:\Flutter_apps\neural_network\android\app\src\main\res\values\styles.xml                                       | XML             |          9 |          9 |          1 |         19 |
| e:\Flutter_apps\neural_network\android\app\src\profile\AndroidManifest.xml                                      | XML             |          3 |          4 |          1 |          8 |
| e:\Flutter_apps\neural_network\android\build.gradle                                                             | Gradle          |         26 |          0 |          5 |         31 |
| e:\Flutter_apps\neural_network\android\gradle.properties                                                        | Java Properties |          3 |          0 |          1 |          4 |
| e:\Flutter_apps\neural_network\android\gradle\wrapper\gradle-wrapper.properties                                 | Java Properties |          5 |          0 |          1 |          6 |
| e:\Flutter_apps\neural_network\android\settings.gradle                                                          | Gradle          |         24 |          0 |          6 |         30 |
| e:\Flutter_apps\neural_network\ios\Flutter\AppFrameworkInfo.plist                                               | XML             |         26 |          0 |          1 |         27 |
| e:\Flutter_apps\neural_network\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist   | XML             |          8 |          0 |          1 |          9 |
| e:\Flutter_apps\neural_network\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                     | XML             |          8 |          0 |          1 |          9 |
| e:\Flutter_apps\neural_network\ios\RunnerTests\RunnerTests.swift                                                | Swift           |          7 |          2 |          4 |         13 |
| e:\Flutter_apps\neural_network\ios\Runner\AppDelegate.swift                                                     | Swift           |         12 |          0 |          2 |         14 |
| e:\Flutter_apps\neural_network\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                      | JSON            |        122 |          0 |          1 |        123 |
| e:\Flutter_apps\neural_network\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                    | JSON            |         23 |          0 |          1 |         24 |
| e:\Flutter_apps\neural_network\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                        | Markdown        |          3 |          0 |          2 |          5 |
| e:\Flutter_apps\neural_network\ios\Runner\Base.lproj\LaunchScreen.storyboard                                    | XML             |         36 |          1 |          1 |         38 |
| e:\Flutter_apps\neural_network\ios\Runner\Base.lproj\Main.storyboard                                            | XML             |         25 |          1 |          1 |         27 |
| e:\Flutter_apps\neural_network\ios\Runner\Info.plist                                                            | XML             |         49 |          0 |          1 |         50 |
| e:\Flutter_apps\neural_network\ios\Runner\Runner-Bridging-Header.h                                              | C++             |          1 |          0 |          1 |          2 |
| e:\Flutter_apps\neural_network\lib\FindBestJob.dart                                                             | Dart            |         49 |          1 |         15 |         65 |
| e:\Flutter_apps\neural_network\lib\job.dart                                                                     | Dart            |         17 |          0 |          3 |         20 |
| e:\Flutter_apps\neural_network\lib\layer.dart                                                                   | Dart            |         10 |          0 |          2 |         12 |
| e:\Flutter_apps\neural_network\lib\main.dart                                                                    | Dart            |         19 |          1 |          4 |         24 |
| e:\Flutter_apps\neural_network\lib\neural_network.dart                                                          | Dart            |        178 |         10 |         18 |        206 |
| e:\Flutter_apps\neural_network\lib\neuron.dart                                                                  | Dart            |         82 |          5 |         17 |        104 |
| e:\Flutter_apps\neural_network\linux\flutter\generated_plugin_registrant.cc                                     | C++             |          3 |          4 |          5 |         12 |
| e:\Flutter_apps\neural_network\linux\flutter\generated_plugin_registrant.h                                      | C++             |          5 |          5 |          6 |         16 |
| e:\Flutter_apps\neural_network\linux\flutter\generated_plugins.cmake                                            | CMake           |         18 |          0 |          6 |         24 |
| e:\Flutter_apps\neural_network\linux\main.cc                                                                    | C++             |          5 |          0 |          2 |          7 |
| e:\Flutter_apps\neural_network\linux\my_application.cc                                                          | C++             |         74 |         11 |         20 |        105 |
| e:\Flutter_apps\neural_network\linux\my_application.h                                                           | C++             |          7 |          7 |          5 |         19 |
| e:\Flutter_apps\neural_network\macos\Flutter\GeneratedPluginRegistrant.swift                                    | Swift           |          6 |          3 |          4 |         13 |
| e:\Flutter_apps\neural_network\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist | XML             |          8 |          0 |          1 |          9 |
| e:\Flutter_apps\neural_network\macos\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                   | XML             |          8 |          0 |          1 |          9 |
| e:\Flutter_apps\neural_network\macos\RunnerTests\RunnerTests.swift                                              | Swift           |          7 |          2 |          4 |         13 |
| e:\Flutter_apps\neural_network\macos\Runner\AppDelegate.swift                                                   | Swift           |          8 |          0 |          2 |         10 |
| e:\Flutter_apps\neural_network\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                    | JSON            |         68 |          0 |          1 |         69 |
| e:\Flutter_apps\neural_network\macos\Runner\Base.lproj\MainMenu.xib                                             | XML             |        343 |          0 |          1 |        344 |
| e:\Flutter_apps\neural_network\macos\Runner\Info.plist                                                          | XML             |         32 |          0 |          1 |         33 |
| e:\Flutter_apps\neural_network\macos\Runner\MainFlutterWindow.swift                                             | Swift           |         12 |          0 |          4 |         16 |
| e:\Flutter_apps\neural_network\pubspec.yaml                                                                     | YAML            |         19 |         60 |         15 |         94 |
| e:\Flutter_apps\neural_network\test\widget_test.dart                                                            | Dart            |         14 |         10 |          7 |         31 |
| e:\Flutter_apps\neural_network\web\index.html                                                                   | HTML            |         38 |         16 |          6 |         60 |
| e:\Flutter_apps\neural_network\web\manifest.json                                                                | JSON            |         35 |          0 |          1 |         36 |
| e:\Flutter_apps\neural_network\windows\flutter\generated_plugin_registrant.cc                                   | C++             |          6 |          4 |          5 |         15 |
| e:\Flutter_apps\neural_network\windows\flutter\generated_plugin_registrant.h                                    | C++             |          5 |          5 |          6 |         16 |
| e:\Flutter_apps\neural_network\windows\flutter\generated_plugins.cmake                                          | CMake           |         19 |          0 |          6 |         25 |
| e:\Flutter_apps\neural_network\windows\runner\flutter_window.cpp                                                | C++             |         49 |          7 |         16 |         72 |
| e:\Flutter_apps\neural_network\windows\runner\flutter_window.h                                                  | C++             |         20 |          5 |          9 |         34 |
| e:\Flutter_apps\neural_network\windows\runner\main.cpp                                                          | C++             |         30 |          4 |         10 |         44 |
| e:\Flutter_apps\neural_network\windows\runner\resource.h                                                        | C++             |          9 |          6 |          2 |         17 |
| e:\Flutter_apps\neural_network\windows\runner\utils.cpp                                                         | C++             |         54 |          2 |         10 |         66 |
| e:\Flutter_apps\neural_network\windows\runner\utils.h                                                           | C++             |          8 |          6 |          6 |         20 |
| e:\Flutter_apps\neural_network\windows\runner\win32_window.cpp                                                  | C++             |        210 |         24 |         55 |        289 |
| e:\Flutter_apps\neural_network\windows\runner\win32_window.h                                                    | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                           |                 |      2,028 |        306 |        365 |      2,699 |
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
